[								
]								
㘛				kān		haam1 lim5		
㚂				nàng		zoeng4		
㝈				luán		lyun4		
㩸				dié		dip6		
㩹				dié		dip6		
㬯				liè		lit6		
㱎				kūn		kwaan1		
㽌				liù		lau6		
㿩				tǎng		tong2		
䂄				huò		fong3		
䊳				mí		mei4		
䊴				qiàn		him3		
䌳				shī		si1		
䌴				luò		lok6		
䕻				lì		lai6		
䕼				rán		nan4		
䕽				zhú		zuk6		
䘍				chài		caai3		
䙰				lí		lei4		liɛ
䚭				xuān				
䝄				shuāng		soeng1		
䝔						fun1		
䝕				zhé				
䟒				quán		hyut3 kyun4		
䠰				quán		kyun4		
䥸				mí		nei4		
䨉						zing1		
䨸				yǐn		zaan2 zaang6		
䪊				lóng		lung4		
䪋				wèi		wai6		
䫷				è		ngok6		
䮽				biāo		biu1		
䯦				mà		maa3 mut6		
䯬				duǒ		do2		
䰓				mián		min4		
䰔				pán		pun4		
䰞				zhǔ		zyu2		
䲖				chóu		caa1 caau1 caau4		
䲗				xián		haam4		
䲘				guǎn		gun2 sung1		
䴌				méng		mung4	mòng	
䴍				yīng		ang1		
䴞				dí		dik6		
䵆				méng		mung4		
䵜				nǒng		nung2		
䵲				qiāo		ciu1		
䵳				wèi		waai3 wui6		
䵴				yìng		zaan6		
䶣				ái		goi1 ngoi4		
䶤				huá		waa4		
䶴						ceoi1 ceoi2		
囔	DOU			nāng		nong4		
囕				lǎn			trộm	
壪				wān				
廳	CHOU TEI	청	CHENG	tīng	ting1(59)	teng1		
戅				gàng		ngong6		
戆				gàng		ngong6 zong3		
攮	DOU NU			nǎng		nong5	nện	
斸				zhǔ		zuk1		
曯		촉	CHOK	zhú				
欖	RAN	람	LAM	lǎn		laam5		
欗	RAN			lán			lườn	
欘				zhú		zuk1		
欙				léi		leoi4 leoi5		
欚				lǐ				
欛	HA HE			bà				
灢				nǎng		nong5		
灣	WAN	만	MAN	wān	wan1(17)	waan1 waan4		quan
爤	RAN			làn				
爥		촉	CHOK	zhú				
爦				lan		laam5		
矘				tǎng		tong2		
矙	KAN	감	KEM	kàn		ham3		
矡		확	HWAK	jué				
礹				yán				
籩	HEN	변	PYEN	biān		bin1		
籫				zuǎn				
籬	RI	리	LI	lí	li2(15)	lei4		*liɛ
籭	SHI SAI SE			sī				
籮	RA			luó	luo2(9)	lo4		
糶	CHOU	조	CO	tiào	tiao4(18)	tiu3		
纘	SAB	찬	CHAN	zuǎn		zyun2		
纙				luò			là	
纚	SHI RI SAI SHA			lí		saai2		
纛	TOU TOKU	독	TO	dào		dou6 duk6		dhok dhɑ̀u
臠	REN	련	LYEN	luán		lyun5		
臡	DEI NAI ZEI			ní		nai4		
蘱				lèi		leoi6		
蘸	SAN			zhàn	zhan4(10)	zaam3		
蘹				huái		waai4		
蘺	RI			lí		lei4	loe	
蘻				jì				
蘼	BI MI	미	MI	mí		mei4		
蘽	RYUU			lěi		leoi5		
蘾				huài		waai6		
蘿	RA	나 라	LA	luó	luo2(25)	lo4	lá	*lɑ
虀	SEI SAI			jī		zai1		
虁	KI GI	기	KI	kuí				
蠻	BAN	만	MAN	mán		maan4	mán	*man
襸				zàn				
襹				shī		si1		
襺	KEN			jiǎn		gaan2 gin2		
襻	HAN			pàn		paan3		
襼	GEI			yì		ngai6		
覊	KI			jī		gei1		
觀	KAN	관	KWAN	guān	guan1(1031)	gun1 gun3	quan	*guɑn guɑ̀n
觿	KEI E SUI KI			xī		kwai4 kwai5		huei xiuɛ
讗				xié				
讘				niè		zip3		
讙	KAN KEN		HWAN HWEN	huān		fun1		xiuæn xuɑn
豒				zhì				
貛	KAN KEN GEN			huān		fun1		
贜	ZOU SOU		CANG	zāng		zong1		
躡	JOU	섭	SEP	niè		nip6		
躢	TOU DOU			tà				
躣				qú		keoi4		
躤				jiè		zik6		
躥				cuān		cyun1		
釁	KIN	흔	HUN	xìn		jan3 jan6		xyìn
釂	SHOU			jiào		ziu3		
鑭	RAN			làn		laan4		
鑮	HAKU BAKU			bó		bok3 bok6		
鑯	SEN SHIN			jiān				
鑰	YAKU	약	YAK	yào	yao4(13)	joek6		iɑk
鑱	SAN ZEN	참	CHAM	chán		caam4		jhram
鑲	JOU SHOU NYOU SOU	양	YANG	xiāng	xiang1(17)	soeng1		
鑳				jiàn				
钄	RAN			lán				
靉	AI	애	AY	ài		oi2		
顱	RO	로	LO	lú		lou4		
顲				lǎn				
饝				mó				
馕				náng				
髖	KAN KON	관	KWAN	kuān		fun1		
鬣	RYOU	렵	LYEP	liè		lip6		liɛp
鱨	SHOU JOU			cháng		soeng4		
鱬				rú				
鱭			CEY	jì		cai5		
鱮	SHO JO YO			xù		zeoi6		
鱯				hù				
鱰				shu				
鸋				níng		ning4		
鸌				hù			vạc	
鸍				mí				
鸎	YOU OU			yīng				*qɛng
鸏		몽	MONG	méng		mung4	mòng	
鸐	TEKI JAKU TAKU DAKU			dí		dik6		
鸑	GAKU			yuè		ngok6		
鸒	YO			yù		jyu4 jyu5		
麡				qí				
黌	KOU	횡	HOYNG	hóng		hung4		
黵	TAN SEN	담	TAM	zhǎn		daam2 zaam2		
鼈	BETSU HETSU	별	PYEL	biē		bit3		biɛt
鼉	TA DA TAN DAN SEN ZEN	타	THA	tuó		to4		dhɑ
鼟	TOU			tēng				
齇	SA SHA			zhā		zaa1		
齸				yì				
齹				cī				
齺	SHUU SHU SAKU ZAKU			zōu		zau1		
齻				diān		din1		
龣	KAKU ROKU			jué				
蘿	RA	나 라	LA	luó	luo2(25)	lo4	lá	*lɑ
