[					
]					
㐁	t,i,a,n,4	t,,i,m,2			
㐂					
㐆	,i,i,n,3	z,,aa,n,2			
㐐					
㐑					
㐒					
㐓					
㐔					
㐕					
㐪					
㐫	x,i,o,ng,1	g,,u,n,3|h,,@,ng,1|z,,u,ng,1			
㐸	q,i,a,n,4	g,,i,m,1|h,,i,m,3			
㐹	,i,i,,4	g,,o,,1|k,u,o,k,8|ng,,aa,t,9			
㐺	,i,i,n,2	z,,u,ng,3			
㐻	n,,ei,,4	f,,u,,1|m,,ou,,5|n,,oi,,6			
㐼	ch,,e,ng,4	c,,i,ng,2			
㐽	f,,e,ng,1	f,,u,ng,1			
㐾					
㐿					
㑀					
㒫	j,,i,,4	g,,ei,,3|h,,ei,,2			
㒲	c,,ai,,2	c,,oi,,4			
㓆					
㓇					
㓙		h,,@,ng,1|k,,u,ng,4			
㓝	x,,i,ng,2	z,,i,ng,4			
㓞	q,i,a,,4	k,,aai,,3			
㔔					
㔕	j,,i,,2	g,,aa,t,7|k,,aau,,1			
㔖					
㔺	sh,,i,,4	s,,aai,,3|s,,i,,6			
㔻		p,,ei,,1			
㕂	,i,i,n,2	z,,aa,m,4|z,,aa,m,6			
㕃	x,,i,,1	h,,i,m,3|k,,aai,,1|l,,i,m,4|z,,a,p,8			
㕄	zh,,i,,3	z,,i,,3			
㕜	sh,,i,,3	s,,ei,,3|s,,i,,2			
㕦	h,u,a,,4	,u,aa,,6|z,i,u,,5			
㕧	x,,i,,1	s,,i,,1			
㕨	f,,a,n,4	f,,aa,n,6			
㘟					
㚏	g,,ao,,3	g,,ou,,2|z,i,u,,5			
㚐	t,,ao,,4	t,,ou,,3|z,,ou,,6			
㚑					
㚣	x,i,ao,,2	g,,aau,,2|h,,aau,,4			
㚤	,i,i,,4	z,,i,k,9			
㚥	,i,u,,2	z,i,u,,1			
㚦	,i,i,,2	g,,ei,,1			
㚧	,i,a,n,3	ng,,a,m,4|z,,i,m,5			
㚨	sh,,e,n,3				
㜽	z,,i,,3	d,,aai,,2|z,,i,,2			
㝌	j,i,u,,4	g,,au,,3			
㝍	x,i,e,,3	s,,e,,2			
㝼	,i,u,,1	z,i,u,,1			
㞌	,i,u,n,4	l,,ai,,1|z,,aa,n,6			
㞍					
