[					
]					
㐯	,i,o,ng,1	,i,u,ng,4			
㒝	m,i,e,,4	m,,i,t,9|z,i,u,,5			
㒞	j,,u,n,4	z,,eo,n,3			
㔎	x,i,e,,4	s,,i,t,8			
㔏	l,,i,,4	g,,a,k,8|l,,i,k,9			
㔣	l,,ei,,2	l,,eoi,,4			
㔤	x,,i,n,4	s,,aa,m,2			
㔥	b,,ai,,4	b,,aai,,6|p,,ei,,4			
㔦	,i,a,ng,3	z,,oe,ng,5|z,,oe,ng,6			
㕓					
㘅	x,i,a,n,2	h,,aa,m,4			
㘆	t,,ai,,3	t,,oi,,4			
㘇	r,,o,ng,2	,u,i,ng,4|z,,i,ng,2		v,,a,ng,1	
㘈	,i,i,,4	z,,i,,4			
㙷	zh,,i,,2	z,,i,k,9			
㙸	b,,ao,,4	b,,u,k,9			
㙹	m,,e,ng,2	m,,u,ng,4			
㙺	k,u,i,,2	g,u,aai,,6			
㜮	l,,a,n,4	l,,aa,m,6			
㜯	x,,i,,1	h,,ei,,1			
㠘	,i,u,,3	z,,eoi,,6			
㠙	h,,ao,,2	h,,ou,,4			
㠚	d,u,i,,4	d,,eoi,,3|z,,eoi,,3			
㠛	,u,o,,4				
㠜	n,,i,,4	z,,i,k,9			
㡥	,i,i,n,4	z,,aa,n,2			
㡦	p,,i,n,1	b,,aa,n,1|f,,aa,n,6			
㣷	n,,i,ng,4	n,,i,ng,6			
㦘	j,,i,,1	g,,i,k,7			
㦜	h,u,o,,4	,u,aa,,6|,u,o,k,9			
㦠					
㦽	,i,u,,4	g,,u,k,7|z,,u,k,7			
㩓	h,u,i,,3	,u,ai,,2			
㩚	m,,e,ng,2	m,,u,ng,4			
㩛	t,u,a,n,2	f,,aa,,1|t,i,u,n,4			
㩜	l,,a,n,3	g,,aa,m,3|l,,aa,m,5		g,i,a,m,1	
㩝	h,,ao,,2	h,,ou,,4			
㩞	c,,i,,4	c,,aa,k,8|,u,i,ng,1			
㩟	zh,,ai,,4	z,,aai,,6			
㪺	j,,u,,1				
㬠	sh,,ai,,4	s,,ai,,3			
㬡	l,,i,ng,2	l,,i,ng,4			
㬢		f,u,i,,1|h,,ei,,1			
㬲	t,i,a,n,1	t,,i,m,1			
㭀					
㯪	l,,i,ng,2	l,,i,ng,4			
㯫	q,,u,,2	k,,eoi,,4|ng,,aau,,1			
㯬	l,i,a,n,3	l,,i,m,5			
㯭	l,,u,,3	l,,ou,,5			
㯮	sh,,u,,2	s,,u,k,9|z,,i,k,9			
㯯	g,,o,ng,4	g,,u,ng,3			
㯰	zh,,e,,2	c,,i,m,1|d,,i,m,1|z,,aa,t,9|z,,i,k,9			
㯱	p,,ao,,1	p,i,u,,4			
㯲	j,,i,n,4	g,,a,m,3		c,,u,m,4	
㯳	q,,i,ng,2	k,,i,ng,4			
㯴					
㯵					
㯶	z,,o,ng,1	z,,u,ng,1			
㱆	x,,i,,1	h,,ei,,1			
㱇	s,,e,,4	h,,ei,,1|s,,a,m,1|s,,i,k,7|z,,i,p,8			
㱈	j,,i,n,4	c,,i,m,3|g,,aa,m,3			
㱉	,i,e,,4	z,,i,p,9			
㱸	b,,i,,4	b,,i,k,7			
㲉	q,u,e,,4	d,,i,k,7|h,,o,k,8			
㵨	p,,i,,4	p,,ei,,3			
㵯	f,,e,ng,2	f,,u,ng,4			
㵰	x,,u,,4	z,,eoi,,6			
㵱	p,i,ao,,3	p,i,u,,3			
㵲	,u,u,,3	m,,ou,,5			
㵳	l,i,ao,,2	l,i,u,,4			
㵴	c,,a,ng,2	c,,o,ng,4			
㵵	z,,ou,,4	t,,o,k,8|z,,aau,,3|z,,eoi,,6			
㵶	z,u,o,,1	c,,eoi,,3|c,i,u,t,8|s,,eoi,,3|z,,i,k,7			
㵷	b,i,a,n,4	b,,i,n,6			
㵸	,i,ao,,4	z,,oe,k,9			
㵹	h,u,a,n,2	,,u,n,4			
㵺	p,,ai,,4	h,,a,k,7|p,,ai,,4			
㵻	x,i,u,,1	s,,aau,,3|s,,a,t,8			
㵼					
㷾	j,u,e,,2	k,,oe,k,9			
㷿	x,i,a,n,1	h,,i,n,1			
㸀	t,,ai,,2	t,,oi,,6			
㸁	h,,a,n,3	h,,o,n,2|h,,o,n,3			
㸂					
㸃	d,i,a,n,3	d,,i,m,2|d,,i,ng,2			
㸣	,i,e,,4	z,,i,p,9			
㹔	j,i,a,ng,1	g,,oe,ng,1			
㹕	h,u,a,n,1	f,,u,n,1			
㹖	h,u,a,n,4	,u,aa,n,6			
㺝	h,,a,n,4	h,,a,m,5|l,,a,m,6			
㺞	,i,u,,2	z,i,u,,4		d,,ư,,6	
㺟	zh,u,o,,2	z,,u,k,9			
㻹	x,u,a,n,1	h,i,u,n,1			
㻺	l,,i,,4	l,,i,k,9			
㻽	s,u,i,,4	s,,eoi,,6			
㻿	sh,,u,,3	s,,u,k,9			
㼀					
㼁					
㼿	t,,o,ng,2	t,,u,ng,4			
㽀	zh,,e,ng,4	z,,i,ng,6			
