[																									
]																									
㒑	k	u	i		3	&h&k	&u	@&a&i	&k&ng	2&2&9															
㒒	p		u		2	b		u	k	9															
㒓	t		a		4	t		aa	t	8															
㒔	sh		u		2	s		u	k	9															
㒕		i	a	ng	1	z		oe	ng	1															
㒖			ou		3	ng		aau		5															
㒗	t		ai		2	t		oi		4															
㒘																									
㓄	zh		e	n	4	s&z		aa	m	2&3															
㔊	zh		a	n	3	t		a	n	2															
㕒		u	ei		1	&f	&u	aai		1&4&6															
㕙	j		u	n	4	z		eo	n	3															
㗱	j		i		2	z		a	p	9															
㗲	h	u	o		4		u	aa&o	k	7&9&9															
㗳	t		a		3	d&t		a	p	7&8															
㗴		i	a	n	2	z		i	n	4						nh		ă	n	2					
㗵	x		u		4	f		a	t	7															
㗶	p		o		1	p		u	t	8															
㗷	s		ai		3	c		oi		3															
㗸																									
㗹																									
㗺																									
㙧																									
㙨	j		i		4	g		ei		1															
㙩	l	i	ao		2	l	&i	aau&u		4&4&6															
㙪		i	i		4	z		i		3															
㙫	j		i		2	z		a	p	9															
㙬		i	i	n	2	ng		aa	n	4															
㙭																									
㙮	d		a		1	t		aa	p	8						đ		ă	p	7					
㙯		i	i		4	ng		aai		6															
㚄																									
㜣	r		a	n	2	z		i	n	4															
㜤	n	i	a	n	3	s		aa	m	2															
㜥	m		ai		2	m		aai		4															
㜦	x		i	n	2	c		a	m	4															
㜧		iu	e		4	&k	i&u	aa&u	t	7&8															
㜨	n		ai		2																				
㝆																									
㝭	x		i	ng	3	s		i	ng	2															
㝮	c	u	i		4																				
㝯	q	i	ao		2	k	i	u		4															
㝻	j		i	n	3	g		a	n	2															
㞟	d	i	a	n	4	d		i	n	6															
㞠	l		ao		2	l	i	u		4															
㠅	f		u		2	f		u	k	7															
㠆	d		a	n	1	d		aa	n	1															
㠇	j	i	u		4	z		au		6															
㠈	r		u	n	4	z		eo	n	6															
㠉	t		o	ng	2	h&t	&i	u	&ng	1&4															
㠊	q		u		1	k		eoi		1															
㠋			e		4	ng		o	k	9															
㠌	q		i		1	h		ei		1															
㠍	j		i		2	c&z		a&aa&i	p&t	7&9&9															
㠎	j		i		2	z		aa	p	9															
㠏	h	u	a		2	&g	u	a&aa&aai	&t	3&4&9															
㠐	j	i	ao		4	c&g&k	&i	aa&u		4&4&6															
㠮	p		e	ng	1	p		a	ng	1															
㡠	zh		e	ng	4	z		i	ng	3															
㡡	ch		u		2	c	i	u		4											t&z	&y	i&u	&u	None&None
㢖	p		a	n	1	p		u	n	1															
㢗	q	i	ao		4	h	&i	ou&u		1&4															
㢘	l	i	a	n	2	h&l		i	m	3&4															
㢢																									
㣄	q		u		2	k		eoi		4															
㣅	z		a	n	4	z		a	m	1															
㣒	c		e	ng	4	s		aa&i	k&ng	3&7															
㣳																									
㣴																									
㥿			ao		4	ng&t		i&ou	&m	5&6															
㦁	l	i	a	n	2	l		i	n	4															
㦂	ch		a	ng	2	s		oe	ng	4															
㦄	m		a		2	m		aa		4															
㦉		i	i		4	c&z		i		2&3						nh		a	t	7					
㦊	h	u	a		2		u	aa		4															
㦋	zh		a		1	c&z		aa		1&1															
㦍			e		4	ng		o	k	9															
㦎	h	u	o		4		u	aa	k	9															
㦏	s		u	n	3	s		eo	n	2&2															
㦐	n		i		4	n		ei		6															
㦑	x	i	a	n	4	h		aa	m	1															
㦒	l		i		2	l		aai		4															
㦓	x	i	a	n	4	z		i	n	6															
㦕	l		o	ng	2	l		u	ng	4															
