[																									
]																									
㒿	l		i		2	l		ei		4															
㘘																									
㜺	z		a	n	4	z		aa	n	2															
㠧	m		i		3	m		ei		5															
㡩	l	u	a	n	2	l	i	u	n	4															
㡪	n	i	e		2																				
㦫	z		a		1	z		aa	t	8															
㦬	l	u	o		3	l		o		2															
㬬	j		u		4	&g		a&eoi	&k	2&6&7															
㬭	j	i	ao		4	z	i	u		3															
㰗	q		i		2	c		i&u	k	7&7															
㰘		i	i		2	z		i		4															
㱌		i	e		2	c&z		i	m&t	1&8															
㶗	f		a	n	4	f		a	n	4&6															
㶙																									
㶚	b		a		4	b		aa		3															
㸎	n	i	e		4	n		i	p	9															
㹛	r		ao		2	z	i	u		2															
㽊	x	i	e		4	s		i	k&t	7&8															
㿘		i	i	ng	2	z		i	ng	4															
䀌	x		i		4																				
䂁	ch		a	n	2	c&s		a	m	1&1&4															
䃸	x	i	a	n	4	c&z		aa&i	m	1&1															
䃹	l		a	n	4	l		aa	n	6															
䆎	x	i	a	n	1	c&l		i	m	1&4															
䆏	f		ei		4	f		aa&aai	&n	3&5															
䇁	s		i		1	s		i		1															
䉮	l		i	n	4	l&m		eo&o	n&ng	4&5&6															
䉯	x	i	a	n	4	g&h&z		@&aa&i	&m&n&ng	1&3&3&6															
䉰	x	i	ao		4	ng		au		4															
䉱			ou		1			aau		1															
䊰	ch		u		2	c	i	u		5															
䌪		i	a	n	3	z		i	m	4&5															
䌫	l		a	n	3	l		aa&eoi&i	&m&p	6&6&9															
䌬	ch		o	ng	2	c		u	ng	4															
䌭	j	i	ao		1	z	i	u		1															
䍽	l		i		4	l		i	k	9															
䏊	l		o	ng	2	l		u	ng	4															
䑏	q	u	a	n	2	k	i	u	n	4															
䒐	m		e	ng	2	c&m		i&u	&ng	2&6															
䕦		i	i	ng	2	z		i	ng	4															
䕧	x	i	ao		4																				
䕨	t		e	ng	2	t		a	ng	4															
䕩	l		ao		3																				
䕪	z		e		2	z		aa	k	9															
䕫	k	u	i		2	k	u	ai		4															
䕬						g		oe	ng	1															
䕭	q	i	a	n	2	c&z		i	m	1&4															
䕮	j		u		2	g		u	k	7															
䕯	p	i	ao		2	p	i	u		4						b		eo		2					
䕰	f		a	n	2																				
䕱	t		ou		2	d&t		a&aau&i	&m&ng	1&1&4															
䕲	l		i	n	3	l		a	m	5															
䘅	n		ai		2	n		aa	ng	4															
䘆	x	i	a	n	3	h	&i	i&u	n	2&2						h		ê	n	3					
䘇		u	e	n	2	m		a	n	1															
䘈	l		i		4	l		aai&i	&t	6&9															
䘉	c		a	n	2	c		aa	m	4															
䙫																									
䜟	ch		e	n	2	c		a&aa	m	3&3															
䜠	ch		e		4	z		i		3															
䜡		i	u		4																				
䜲	l	i	e		4	l		aai&i	&p	6&9															
䝓	l	i	e		4	l		i	p	9															
䞊	x		u	n	4																				
䟍	b	i	a	n	1	b		i	n	1															
䟎																									
䟏	l		i		4	l		i	k	7															
䠬	d		e	ng	4	d		a	ng	3															
䡺		u	ei		4		u	ai		6															
䡻	m		i	n	2	m		aa	n	4															
䤕	x	u	e		4																				
䤖	b		ao		4	b		ou		6															
䥧	h	u	a	n	2	s	i	u	n	4															
䥨	l		v		4	l		eoi		6															
䥩		u	ei		2	m		ei		4															
䥪	x	i	a	n	3	h		i	n	2															
䥫	t	i	e		3	d&t	&i	i&u	&t	1&8															
䥬	b		o		2	b&h		aa&o	k&t	8&9&9															
䥭	zh		e	ng	4	z		i	ng	3															
䥮	zh		u		2	z		u	k	7															
䦵	n		i		3																				
䨈	b		i	n	1	b		a	n	1															
䨲	n		ou		2																				
䨳	x		i		4	h		ei		1															
䨴	d	u	i		4	d&h		au&eoi		1&6															
䨼	h		u		4			u		6															
䩎																									
䪅	d		u		2	d		u	k	9															
䪆	t		i		3	t		ai		2															
䪜	ch		a	n	1	s&z		i	m	4&4															
䪰		i	i		1	z		i		1															
䫲	h		a	n	4	h&z		aa&i	m	2&2															
䫳	d		u		2	d		u	k	9															
䫴	j		i	n	4	g		aa&i	m&ng	3&6															
䭝	k	u	ai		4	k	u	i		2															
䭞		i	i		4	z		i	k	9															
䭟		i	e		4	z		i	p	9															
䭠	j	i	a	n	3	h		aa&i	m	2&3															
䮲	h	u	a	ng	2		u	o	ng	4															
䮳	f		a	n	2	f		aa	n	4															
䮴	d		e	ng	4	d		a	ng	6															
䮵	t		o	ng	2	t		u	ng	4															
䮶																									
䯣	k	u	i		4		u	aai		2															
䯫	h		ao		4	h		ou		6															
䰎	k	u	i		4		u	aai		2															
䰝	z		e	ng	4	z		a	ng	6															
䰫	ch		ao		1	c		aau		1															
䰬	j		u		2	g	u	aa	t	7															
䰭	n		ou		4	z	i	u		4															
䱾	l		ou		2	l		aau		1&4															
䱿	ch		a	n	4	c		aa	m	3															
䲀	zh		i		4	z		i		3															
䲁		u	ei		4	&t	&u	aai&o		3&5															
䲂	x	u	a	n	2	s	i	u	n	4															
䲃	z		ao		3	z		ou		2															
䲄	m		i	n	2	m		a&aa	n&ng	4&5															
䲅	g	u	i		1	k	u	ai		1															
䲆	s		u		1	s		ou		1															
䲇																									
䲈																									
䳷	c		o	ng	2	c		u	ng	4															
䳸	m		a		2	m		aa&ai&i	&n	4&4&5															
䳹	k		ou		4	k		aau		3&5															
䳺		i	a	n	4			a&aa	m&n	1&3															
䳻	c		a	n	2	c		aa	m	4															
䳼								aau		1															
䳽	h		e		4	h		o	k	9															
䴩	p	i	ao		2	p	i	u		4															
䵁	q	i	a	ng	4	c		oe	ng	1															
䵂	zh		i		2	z		a	k	9															
䵅			ao		2	ng		ou		4															
䵚	t		ao		3	c&d&s&t		aa&eoi&ou	&m	2&2&3&4															
䵸						c		aau		1															
䶇	zh		ou		4	z		au		6															
