乘,sing4 sing6
修,sau1
俯,fu2
俱,geoi1 keoi1
俺,jim3
倆,loeng5
倉,cong1
個,go3
倍,pui5
們,mun4
倒,dou2 dou3
倘,soeng4 tong2
候,hau6
倚,ji2
借,ze3
倡,coeng1 coeng3
倦,gyun6
债,zaai3
值,zik6
倾,king1
党,dong2
兼,gim1
冤,jyun1
凄,cai1
准,zeon2
凉,loeng4
凍,dung1 dung3
剔,tik1
剖,fau2 pau2
剛,gong1
剝,bok1 mok1
剥,bok1 mok1
剧,kek6
匪,fei2
原,jyun4
員,jyun4 wan4
哥,go1
哦,ngo4 o2 o4 o6
哧,ci1
哨,saau3
哩,le1 lei5 li1
哪,naa1 naa4 naa5
哭,huk1
哮,haau1
哲,zit3
哺,bou1 bou6
哼,hang1 hng6 ng1
哽,ang2 gang2
唄,baai6
唇,seon4
唤,wun6
圆,jyun4
埃,aai1 oi1
埋,maai4
壶,wu4
夏,haa6
套,tou3
娘,noeng4
娛,jyu4
娱,jyu4
孫,syun1
宮,gung1
宰,zoi2
害,hoi6 hot3
宴,jin3
宵,siu1
家,gaa1 gu1
容,jung4
宽,fun1
宾,ban1
射,je6 jik6 se6
屑,sit3
展,zin2
峨,ngo4
峭,ciu3
峰,fung1
島,dou2
峻,zeon3
峽,haap6
差,caa1 caai1 ci1
師,si1
席,zik6
帮,bong1
座,zo6
庫,fu3
庭,ting4
弱,joek6
徐,ceoi4
徑,ging3
徒,tou4
恋,lyun2 lyun5
恐,hung2
恥,ci2
息,sik1
恳,han2
恶,ngok3 ok3 wu1 wu3
悄,ciu2 ciu5
悅,jyut6
悔,fui3
悟,ng6
悦,jyut6
扇,sin3
拳,kyun4
拿,naa4
挨,aai1
挫,co3
振,zan3
挺,ting2 ting5
挽,waan5
挾,haap6 hip6
捂,wu2
捆,kwan2
捉,zuk1 zuk3
捍,hon2 hon5 hon6
捎,saau1
捏,nip6
捐,gyun1
捕,bou6
捞,laau4 lou4
损,syun2
捡,gim2
换,wun6
捣,dou2
效,haau6
敌,dik6
料,liu2 liu6
旁,pong4
旅,leoi5
時,si4
晃,fong2
晌,hoeng2
晒,saai3
晓,hiu2
晕,wan4
書,syu1
校,gaau3 haau6
株,zyu1
样,joeng6
核,hat6 wat6
根,gan1
格,gaak3
栽,zoi1
桃,tou4
桅,ngai4 wai4
框,hong1 kwaang1
