就,jiu4,zau6
都,dou1 du1,dou1 dou1
發,fa1 fa5 fa4,faat3
進,jin4,zeon3
然,ran2 ran5,jin4
開,kai1,hoi1
象,xiang4,zoeng6
給,gei3 ji3,kap1
幾,ji3,gei1 gei2
等,deng3,dang2
最,zui4,zeoi3
間,jian1 jian5 jian4,gaan1 gaan3
無,wu2,mou4
階,jie1,gaai1
提,ti2,dai2 tai4
隊,dui4,deoi6
結,jie2 jie1,git3 lit3
量,liang4 liang5 liang2,loeng4 loeng6 loeng4 loeng6
報,bao4,bou3
期,qi1,gei1 kei4
跑,pao3,paau2 paau4
强,qiang2 qiang3,koeng4 koeng5
統,tong3,tung2
越,yue4,jyut6
确,que4,kok3
勞,lao2,lou4 lou6 lou4 lou6
程,cheng2,cing4
備,bei4,bei6
買,mai3,maai5
場,chang3 chang2,coeng4
集,ji2,zaap6
勝,sheng4,sing1 sing3
須,xu1,seoi1
装,zhuang1,zong1
黑,hei1,haak1 hak1
圍,wei2,wai4
草,cao3,cou2
單,dan1,daan1 sin4 sin6
随,sui2,ceoi4
联,lian2,lyun4
訴,su5 su4,sou3
証,zheng4,zing3
陽,yang2,joeng4
畫,hua4,waa2 waa6 waak6
温,wen1,wan1
敢,gan3,gam2
喊,han3,haam3 ham6
喜,xi3,hei2
答,da2 da1,daap3
評,ping2,ping4
創,chuang4 chuang1,cong1 cong3
鄉,xiang1,hoeng1 hoeng3
量,liang4 liang5 liang2,loeng4 loeng6 loeng4 loeng6
药,yao4,joek1 joek6
棉,mian2,min4
曾,ceng2,cang4 zang1
窗,chuang1,coeng1
属,shu3,suk6 zuk1
揮,hui1,fai1
游,you2,jau4
痛,tong4,tung3
替,ti4,tai3
換,huan4,wun6
黃,huang2,wong4
黄,huang2,wong4
喝,he1 he5 he4,hot3
握,wo4,aak1 ak1
街,jie1,gaai1
普,pu3,pou2
短,duan3,dyun2
富,fu4,fu3
践,jian4,cin5
筆,bi3,bat1
費,fei4,bei3 fai3
景,jing3,ging2 jing2
減,jian3,gaam2
