呵,a1 he1,ho1 ho2
阿,a1,aa2 aa3 aak3 o1
岸,an4,ngon6
昂,ang2,ngong4 ngong5
拔,ba2 ba5,bat6
爸,ba4 ba5,baa1
败,bai4,baai6
板,ban3,baan2
版,ban3,baan2
拌,ban4,bun3 bun6 pun3
饱,bao3,baau2
宝,bao3,bou2
抱,bao4,bou6 pou5
卑,bei1,bei1
杯,bei1,bui1
备,bei4,bei6
彼,bi3,bei2
变,bian4,bin3
并,bing4,bing1 bing3 bing6
波,bo1,bo1
拨,bo1,but6
补,bu3,bou2
怖,bu4,bou3
采,cai3,coi2 coi3
参,can1 shen1,caam1 sam1
厕,ce4,ci3
侧,ce4,zak1
诧,cha4,caa3
拆,chai1,caak3
畅,chang4,coeng3
炒,chao3,caau2
陈,chen2,can4
承,cheng2,sing4
诚,cheng2,sing4
迟,chi2,ci4
齿,chi3,ci2
抽,chou1,cau1
炊,chui1,ceoi1
垂,chui2,seoi4
刺,ci4,ci3 cik3 sik3 ci3 cik3 sik3
担,dan1 dan4 dan5,daam1
单,dan1,daan1
诞,dan4,daan3
到,dao4 dao5,dou3
的,de5 di4 di2,di1 dik1
底,di3,dai2
抵,di3,dai2
典,dian3,din2
店,dian4,dim3
钓,diao4,diu3
顶,ding3,deng2 ding2
定,ding4,deng6 ding6
東,dong1,dung1
毒,du2,duk6
法,fa3 fa5,faat3
返,fan3,faan1 faan2
泛,fan4,faan3
贩,fan4,faan3
肪,fang2,fong1
房,fang2,fong2 fong4
放,fang4,fong3
非,fei1,fei1
肥,fei2,fei4
沸,fei4,faak1 fai3
废,fei4,fai3
肺,fei4,fai3
氛,fen1,fan1
奋,fen4,fan5
忿,fen4,fan5 fan6
奉,feng4,fung6
肤,fu1,fu1
服,fu2 fu5,fuk6
府,fu3,fu2
斧,fu3,fu2
附,fu4,fu6
咐,fu5,fu3 fu6
该,gai1,goi1
秆,gan3,gon2
岡,gang1,gong1
疙,ge1,gat6
供,gong1 gong4,gung1 gung3
狗,gou3,gau2
购,gou4,gau3
构,gou4,gau3 kau3
姑,gu1 gu5,gu1
孤,gu1,gu1
股,gu3 gu5,gu2
固,gu4,gu3
咕,gu5,gu1 gu2
刮,gua1,gwaat3
乖,guai1,gwaai1
拐,guai3,gwaai2
怪,guai4,gwaai3
官,guan1,gun1
贯,guan4,gun3
规,gui1,kwai1
诡,gui3,gwai2
国,guo2,gwok3
果,guo3,gu2 gwo2
还,hai2 huan2,waan4
和,he2 huo5 he5 he4,wo4 wo6
河,he2,ho4
轰,hong1,gwang1
呼,hu1 hu5,fu1
忽,hu1,fat1
狐,hu2,wu4
话,hua4 hua5,waa2 waa6
画,hua4,waa2 waak6
环,huan2,waan4
昏,hun1 hun2,fan1
货,huo4,fo3
或,huo4,waak6
季,ji4,gwai3
剂,ji4,zai1
际,ji4,zai3
佳,jia1,gaai1
驾,jia4,gaa3
艰,jian1,gan1
肩,jian1,gin1
拣,jian3,gaan2
杰,jie2,git6
节,jie2,zit3
屆,jie4,gaai3
届,jie4,gaai3
姐,jie5 jie3,ze2
金,jin1,gam1 gam1
近,jin4,gan6 kan5
进,jin4,zeon3
经,jing1 jing5,ging1
径,jing4,ging3
净,jing4,zeng6 zing6
糾,jiu1,dau2 gau2
居,ju1,geoi1
拘,ju1,keoi1
驹,ju1,keoi1
咀,ju3,zeoi2
具,ju4 ju5,geoi6
拒,ju4,keoi5
卷,juan3 juan4,gyun2 gyun3 kyun4
咖,ka1,gaa1 gaa3 kaa1
炕,kang4,hong3 kong3
刻,ke4,haak1 hak1
肯,ken3,hang2 hoi2
空,kong1 kong4,hung1 hung3
況,kuang4,fong3
矿,kuang4,kong3
昆,kun1,gwan1
虑,l&#xfc;4,leoi6
拉,la1 la5,laa1 laai1 laap6 laa1 laai1 laap6
垃,la1,laap6
