[								
]								
㒂				zhuó		zoek6		
㒃				èr		zi6		
㒄				rǎn		ngam4 zim5		
㒅				qǐ		kai2		
㒆				chì		kap1		
㒇				wǔ		ng5		
㒈				hàn		hon6		
㒉				tǎng		tong2		
㒊				sè		saap1 sik1		
㒋						si1		
㒌				qióng		king4		
㒍				léi		leoi5		
㒎				sà		sat3		
㒏								
㒐								
㓗				jié		git3		
㓾				xī		sai1		
㓿								
㔀				l&#xfc;è		king4		
㔁				dēng		daang1 taang1		
㔂				lín		leon4		
㔃				jué		zyut6		
㔄				sù		suk1		
㔅				xiào		siu3		
㔆				zàn		caam5		
㔇						put3		
㔈								
㔉				zhǔ		cung2 zuk1		
㔢				jué		waai4 zyut6		
㔵				xuǎn		syun2 wan4		
㕐				xiě		se2		
㕑				chú		ceoi4 cyu4		
㕡				hé		hang1 kok3		
㕢				gài				
㗢				hóng		hung1	rống	
㗣				tì		daai3 taai3		
㗤				cù		cuk1		
㗥				kuò		kwok3		
㗦				láo		lou4		
㗧				zhì		zaat6		
㗨				xiē		aai2 hai6		
㗩				xī		ci1		
㗪								
㗫				qiè		caai3 cam1 saam6		
㗬				zhā		zaa1		
㗭				xī		hei1		
㗮								
㗯								
㗰				cóng		cung4 saai3		
㘤				wān		waan1		
㙠				yī		aai3		
㙡				zōng		zung1		
㙢				mán		man6 mang6		
㙣				zhàng		zoeng3		
㙤				xià		laa3	hố	
㙥				gùn		gwaan2 waan6 wat6		
㙦				xié				
㚋				diāo		diu1 niu5 seoi4 to5		
㚌				huà		fo2 lo2		
㜕				lián		lin4		
㜖				cáo		cou4		
㜗				cān		cam2		
㜘				jù		geoi6		
㜙				lù		luk6		
㜚				sù		suk1		
㜛				nèn		zyun5		
㜜				ào		ngou6		
㜝				ǎn		an2		
㜞				qiàn		cam4 cim3		
㜟								
㜠				cuī		ceoi1 cyun2		
㜡				cōng		sung1		
㜢								
㝩				kāng		hoi1		
㝪				diàn		dim3		
㝫				lóng		lung4		
㝬								
㝺				lián		lim4		
㞜				tuī		teoi1		
㞝								
㞞				sóng				
㟹				láo		liu4 lou4		
㟺				lóu		laau4		
㟻				qiàn		cim3 ding1 zam2		
㟼				áo		ngou4 ngou4		ngɑu
㟽				biǎo		biu2		
㟾				yōng		zung4		
㟿				mǎng		mong5		
㠀				dǎo		dou2		
㠁						caam1		
㠂				áo		ngou4		
㠃								
㠄				xí		zaap6		
㡜				xiè		syut3		
㡝				fèng		fung6		
㡞				lóu		laau4 laau5 leoi5		
㡟				zāo		zou1		
㡭				jì		gai3		
㢒				chá		caa4		
㢓				yǎo		zoeng3		
㢔				zǒng		cung1 zaai1 zung2		
㢕						zung1		
㢡				jiǎng		ceoi1 ceot1 zoeng2		
㣃				yǔ		zuk6		
㣑				róng		zung4		
㣰				xiè		sik1		
㣱				zé		zak3		
㣲				wéi		mei4		
㥯				yǐn		zaan2		
㥲				chēn		can1		
㥶				sè		sak1		
㥷				yè		aai3		
㥸				mǐn		man5		
㥹				fěn		baan1 faan2		
㥻								
㥼				yìn		zaan2		
㥽				cè		caak3		
㥾				nì		nik1		
㦀				féng		fung4		
㦃				chǎn		can2 zan3		
㦅				diē		daai3		
㦆				hū		fu1	hú	
㦇				lù		luk6		
㦈								
㦺				rù		zuk6		
㨭				hù		wu6		
㨮				dōu		dau1		
㨯				huò		gwok3		
㨰				gǔn		gwaan2		
㨱				yáo		ziu4		
㨲				cè		caak3		
㨳				guǐ		gwaai2 kyut3 wan4		
㨴				jiàn		gin3 hin1 kin2 zin5		
㨵				jiǎn		zin2 zin3		
㨶				dǎo		dou2	đẽo	
㨷				jìn		gaam3		
㨸				mà		bei3 maa6		
㨹				huì		wai6		
㨺				miǎn		min5 mun4		
㨽				pì		baat6 bik1 fan6		
㨾				yàng		zoeng6		
㨿				jù		gei1 goeng3		
㩀				jù		goeng3		
㩁				què		kok3		
㩂								
㪠				qiān		him3		
㪡				kài		hot3		
㪢				shǎo		saau2		
㪣				xiāo		hau1 kiu3		
㫁				duàn		dyun6		
㬍				bó		bok3		
㬎				xiǎn		hin2		
㬏				lì		lik6		
㬐				jìn		zeon3		
㬺								
㬻				huāng		baang1 fong1		
㮤						cung4		
㮥				bèn		faan5		
㮦				suǒ		sok3		
㮧				wū		waat1 wu1		
㮨				jì		zik1		
㮩				xī		sik1		
㮪				qióng		kung4		
㮫				hé		haat6 hot3		
㮬				wēng		zung1		
㮭				xián		ham4		
㮮				jié		git3		
㮯				hún		wan4		
㮰				pí		pei4		
㮱				shēn		sing1		
㮲				chōu		caai1		
㮳				zhèn		zaam6		
㮴						sau1		
㮵				zhān		zin1		
㮶				shuò		sak3 sok3		
㮷				jī		gai1		
㮸				sòng		sung3		
㮹				zhǐ		zi2		
㮺				běn		bun2 hak1		
㮻								
㮼								
㮽								
㰿				xī		hei1		
㱀				chǐ		ci2 zyut3		
㱁				shì		si6		
㱗				xiū		zaau1		
㱯				ái		goi1 ngoi4		
㱰				zǎi		zoi2		
㱱				huì		wui5 wui6		
㱲				yì		zik1		
㲅				jì		gai3		
㲤				shuāi		seoi1		
㲥				táng		tong4		
㲦				hàn		hon6		
㲧				sào		cou3 sou3		
㲨				róng		zung4		
㲩								
㴼				sù		suk1		
㴽				xiè		co3 nau4 sit3		
㴾				bó		but6		bhət
㴿				dǐng		ding2		
㵀				zú		zuk6		
㵁						fong1		
㵂				shù		syu3		
㵃				shé		se4		
㵄				hàn		hon3 wik6		
㵅				tān		tam1 tam3		
㵆				gǎo		hou6		
㵇								
㵈								
㵉								
㷟				tuì		teoi3		
㷠				lín		leon4		
㷡				jiǒng		gwing2 waan4 wo1		
㷢				zhǎ		zaa2		
㷣				xīng		sing1		
㷤				hù		huk6 kok3		
㷥						zing1		
㷦				xù		gwik1 zik6		
㷧								
㷨								
㷩						hei1		
㷪				cuì		zyun2		
㸕				jué		fok3		
㸢				bèi		bei6		
